,밑위,엉덩이단면,총장,허리단면,허벅지단면,classification,cluster_size
3668,36.0,60.0,105.0,42.0,36.0,0,L
3669,35.5,53.0,109.0,43.5,34.5,2,XL
3670,36.5,56.0,111.0,45.5,36.0,2,XL
3671,33.0,52.0,103.0,37.0,34.0,0,L
3672,35.0,55.0,106.0,40.0,36.0,0,L
3673,32.0,49.0,107.0,38.0,34.0,0,L
3674,34.0,51.0,109.0,41.0,36.0,0,L
3675,30.0,49.5,101.0,39.0,29.0,0,L
3676,30.5,52.0,102.0,41.0,30.5,0,L
3677,31.5,54.5,103.0,43.5,31.5,2,XL
3678,32.5,57.7,104.0,45.5,33.0,2,XL
3679,33.0,52.0,103.0,37.0,34.0,0,L
3680,35.0,55.0,106.0,40.0,36.0,0,L
3681,27.0,44.0,95.5,32.5,28.25,1,XS
3682,27.5,45.25,95.5,33.75,28.88,3,M
3683,28.0,46.5,96.5,35.0,29.5,3,M
3684,28.5,47.75,96.5,36.25,30.13,3,M
3685,29.0,49.0,96.5,37.5,30.75,0,L
3686,29.5,50.25,97.5,38.75,31.38,0,L
3687,30.0,51.5,97.5,40.0,32.0,0,L
3688,30.5,52.75,98.5,41.25,32.62,0,L
3689,31.0,54.0,98.5,42.5,33.25,0,L
3690,32.0,56.5,99.5,45.0,34.5,2,XL
3691,31.5,52.5,101.0,31.75,32.75,0,L
3692,32.0,53.75,101.0,33.0,33.38,0,L
3693,32.5,55.0,102.0,34.25,34.0,0,L
3694,33.0,56.25,102.0,35.5,34.63,0,L
3695,33.5,57.5,102.0,36.75,35.25,0,L
3696,34.0,58.75,103.0,38.0,35.88,0,L
3697,34.5,60.0,103.0,39.25,36.5,0,L
3698,33.0,63.0,102.0,31.0,35.0,0,L
3699,34.0,65.0,103.0,33.0,36.5,0,L
3700,35.0,67.0,104.0,35.0,38.0,0,L
3701,36.0,69.0,105.0,37.0,39.5,0,L
3702,20.0,29.5,83.0,22.0,18.0,1,XS
3703,21.0,31.5,85.0,24.0,19.0,1,XS
3704,22.0,33.5,86.0,26.0,20.0,1,XS
3705,23.0,35.5,86.0,28.0,21.0,1,XS
3706,32.0,55.0,106.5,37.5,40.5,0,L
3707,34.5,57.0,108.0,40.5,41.5,0,L
3708,33.0,63.0,102.0,31.0,35.0,0,L
3709,34.0,65.0,103.0,33.0,36.5,0,L
3710,35.0,67.0,104.0,35.0,38.0,0,L
3711,36.0,69.0,105.0,37.0,39.5,0,L
3712,29.2,57.5,103.0,35.0,35.3,0,L
3713,29.2,58.8,103.0,36.3,35.9,0,L
3714,29.7,60.0,104.0,37.5,36.5,0,L
3715,29.7,61.3,104.0,38.8,37.1,0,L
3716,30.2,62.5,105.0,40.0,37.8,0,L
3717,30.2,63.8,105.0,41.3,38.4,0,L
3718,30.7,65.0,105.0,42.5,39.0,0,L
3719,31.2,66.3,105.0,43.8,39.6,2,XL
3720,31.7,67.5,106.0,45.0,40.3,2,XL
3721,32.7,70.0,106.0,47.5,41.5,2,XL
3722,33.7,72.5,107.0,50.0,42.8,2,XL
3723,34.7,75.0,107.0,52.5,44.0,2,XL
3724,35.7,77.5,108.0,55.0,45.3,2,XL
3725,33.0,47.0,98.5,31.5,31.0,3,M
3726,34.0,49.0,99.5,33.5,32.0,0,L
3727,35.0,51.0,100.5,35.5,33.0,0,L
3728,32.0,64.0,103.0,34.0,40.0,0,L
3729,33.0,66.5,104.0,36.5,41.25,0,L
3730,34.0,69.0,105.0,39.0,42.5,0,L
3731,35.0,71.5,106.0,41.5,43.75,0,L
3732,36.0,74.0,107.0,44.0,45.0,2,XL
3733,32.0,55.0,96.0,30.0,28.0,3,M
3734,32.0,55.0,96.0,30.0,28.0,3,M
3735,30.0,44.5,105.5,33.65,29.5,1,XS
3736,30.7,46.4,106.5,35.55,30.15,3,M
3737,26.0,43.0,103.0,33.0,29.0,1,XS
3738,27.0,44.0,104.0,34.0,30.0,1,XS
3739,29.0,44.0,105.5,34.5,27.5,1,XS
3740,30.0,45.5,106.5,36.0,28.5,3,M
3741,28.5,57.0,99.0,66.0,30.0,2,XL
3742,29.0,60.0,100.0,71.0,32.0,2,XL
3743,29.5,62.0,101.0,75.0,34.0,2,XL
3744,30.0,65.0,102.0,81.0,36.0,2,XL
3745,33.0,51.0,102.0,36.0,35.0,0,L
3746,34.0,52.0,103.0,38.0,36.0,0,L
3747,35.0,53.0,104.0,40.0,37.0,0,L
3748,36.0,54.0,105.0,42.0,38.0,0,L
3749,37.0,55.0,106.0,44.0,39.0,2,XL
3750,29.2,57.5,103.0,35.0,35.3,0,L
3751,29.2,58.8,103.0,36.3,35.9,0,L
3752,29.7,60.0,104.0,37.5,36.5,0,L
3753,29.7,61.3,104.0,38.8,37.1,0,L
3754,30.2,62.5,105.0,40.0,37.8,0,L
3755,30.2,63.8,105.0,41.3,38.4,0,L
3756,30.7,65.0,105.0,42.5,39.0,0,L
3757,31.2,66.3,105.0,43.8,39.6,2,XL
3758,31.7,67.5,106.0,45.0,40.3,2,XL
3759,32.7,70.0,106.0,47.5,41.5,2,XL
3760,33.7,72.5,107.0,50.0,42.8,2,XL
3761,34.7,75.0,107.0,52.5,44.0,2,XL
3762,35.7,77.5,108.0,55.0,45.3,2,XL
3763,26.0,46.0,92.0,35.0,30.3,3,M
3764,26.0,47.3,92.0,36.3,30.9,3,M
3765,26.5,48.5,93.0,37.5,31.5,0,L
3766,26.5,49.8,93.0,38.8,32.1,0,L
3767,27.0,51.0,94.0,40.0,32.8,0,L
3768,27.0,52.3,94.0,41.3,33.4,0,L
3769,27.5,53.5,94.0,42.5,34.0,0,L
3770,28.0,54.8,94.0,43.8,34.6,2,XL
3771,28.5,56.0,95.0,45.0,35.3,2,XL
3772,29.5,58.5,95.0,47.5,36.5,2,XL
3773,30.5,61.0,96.0,50.0,37.8,2,XL
3774,31.5,63.5,96.0,52.5,39.0,2,XL
