,height,hem,hip,outer_leg,waist,thigh
2476,163.6,31.0,43.05,50.25,34.9,25.65
2477,153.4,31.75,44.8,46.2,41.55,25.85
2478,148.2,36.0,50.25,44.75,48.5,30.95
2479,145.5,29.5,43.7,44.75,40.4,25.9
2480,159.1,33.5,48.5,48.65,41.25,29.7
2481,160.0,33.5,51.5,49.6,44.05,31.55
2482,159.7,30.5,41.05,50.15,31.05,22.6
2483,150.3,31.8,42.95,44.95,36.0,24.35
2484,153.0,31.6,44.35,46.25,36.2,23.55
2485,170.5,35.25,47.9,53.75,37.6,28.45
2486,162.4,33.2,43.7,49.6,31.6,24.1
2487,160.0,34.15,47.55,48.35,38.7,26.45
2488,159.0,32.8,45.95,47.95,40.85,25.45
2489,157.1,30.45,45.4,47.9,34.85,25.2
2490,155.0,30.2,42.3,47.5,33.65,24.45
2491,157.0,31.0,44.9,48.25,31.75,24.35
2492,166.5,31.75,44.5,51.35,33.75,25.9
2493,157.8,32.5,44.35,47.7,37.6,25.5
2494,152.1,31.35,43.8,46.2,37.05,25.75
2495,158.0,30.5,44.5,47.2,35.75,24.0
2496,153.0,31.3,45.25,46.3,41.75,25.5
2497,161.0,32.7,46.55,49.05,38.9,26.1
2498,153.1,30.9,43.8,45.15,36.8,24.35
2499,160.8,31.15,44.3,49.85,34.0,25.15
2501,159.8,31.9,47.6,49.65,37.4,27.25
2502,151.1,33.0,48.85,45.05,42.2,30.05
2503,156.4,34.2,48.9,47.25,46.45,26.65
2504,161.2,30.75,43.05,49.5,30.85,24.55
2505,156.7,33.05,48.5,48.2,41.5,29.1
2506,166.7,33.4,46.95,51.5,34.7,27.45
2507,152.7,30.65,44.05,46.5,38.75,24.2
2508,160.4,32.0,45.65,50.05,37.2,24.5
2509,170.4,32.15,46.5,52.3,38.65,25.05
2510,156.5,32.5,46.15,47.7,40.0,27.2
2511,149.0,30.3,42.9,45.0,34.05,25.35
2512,151.1,30.0,43.8,45.7,39.6,25.6
2513,158.1,32.0,43.1,48.7,30.45,23.7
2514,157.4,30.9,43.7,47.2,37.65,24.6
2515,162.4,37.5,54.5,49.6,50.7,33.45
2516,163.9,35.75,51.3,50.4,39.45,30.55
2517,149.0,35.0,50.15,44.75,43.35,30.1
2518,155.2,31.75,46.1,47.3,44.7,26.45
2519,169.3,35.25,49.2,52.35,46.8,27.7
2520,153.5,32.0,42.5,47.15,36.25,23.75
2521,158.9,34.5,47.65,49.15,42.35,28.55
2523,161.3,35.9,49.1,49.45,42.3,28.6
2524,166.8,31.65,45.95,51.05,36.0,26.6
2525,161.5,34.25,49.8,49.85,38.0,28.15
2526,163.4,33.15,46.0,49.55,35.15,27.05
2527,160.4,33.6,45.3,49.55,35.35,26.7
2528,155.4,31.3,47.05,47.5,41.2,26.3
2529,151.0,30.5,43.45,45.2,37.55,23.95
2530,163.1,31.75,45.75,50.45,43.0,25.25
2531,155.5,34.65,48.0,47.65,45.1,28.1
2532,157.8,34.65,48.15,47.95,41.1,26.7
2533,169.5,35.7,47.0,53.45,35.8,28.25
2534,159.9,33.25,45.65,49.3,35.2,24.45
2535,157.1,33.05,50.0,47.3,40.25,28.9
2536,162.3,31.5,44.35,49.55,32.3,24.35
2537,151.1,32.9,46.0,45.5,45.25,27.25
2538,161.5,32.9,44.5,50.65,31.65,24.9
2539,150.5,30.25,40.6,44.9,31.0,22.5
2540,161.2,36.0,50.35,48.85,49.1,29.45
2541,158.5,32.45,45.25,49.5,41.5,26.35
2542,154.4,33.15,49.0,48.1,47.0,28.05
2543,169.0,33.75,47.65,51.95,36.7,26.65
2544,148.8,35.2,48.55,46.3,44.7,26.35
2545,159.3,32.95,48.45,48.95,40.85,29.35
2546,155.8,34.85,48.35,48.1,40.85,27.95
2547,166.4,34.25,50.45,51.3,44.85,29.55
2548,151.3,34.0,46.65,46.7,42.4,26.05
2549,158.6,33.25,45.3,48.95,40.55,24.35
2550,155.7,34.0,46.75,47.9,37.35,28.8
2551,150.3,33.65,43.9,45.9,41.15,25.85
2552,159.7,33.2,47.65,49.25,40.15,27.4
2553,153.0,32.5,43.5,46.3,37.9,24.7
2554,150.2,32.5,42.9,46.65,40.15,25.2
2555,157.6,32.5,43.35,49.0,33.45,24.95
2556,160.2,31.0,43.65,49.3,36.9,25.2
2557,146.5,33.5,44.0,44.2,41.1,25.9
2558,153.5,34.0,47.2,47.8,43.1,27.8
2559,161.7,32.75,45.2,48.65,35.15,24.75
2560,163.7,33.0,46.9,49.25,34.35,26.55
2561,164.0,35.45,47.5,50.8,38.45,27.5
2562,166.9,33.9,46.55,50.9,34.6,25.95
2563,156.9,31.55,44.7,47.3,34.45,28.05
2564,167.0,34.55,48.75,51.8,41.2,29.0
2565,156.3,33.65,46.25,48.5,33.75,28.6
2566,158.7,35.4,51.4,48.7,43.65,30.6
2567,153.6,33.65,46.35,46.65,39.35,26.8
2568,165.3,34.4,46.75,50.15,39.1,26.15
2569,166.3,33.75,49.05,52.45,41.9,28.95
2570,163.9,35.45,49.0,50.55,37.05,28.6
2571,170.4,33.75,46.1,52.7,34.45,27.8
2572,153.7,34.4,52.2,46.4,44.75,31.0
2573,163.5,35.9,48.7,49.8,32.65,26.75
2574,165.8,33.2,49.2,51.45,43.75,28.7
2575,172.7,31.95,46.25,53.05,33.4,25.8
2576,156.5,31.75,45.3,48.05,32.7,26.2
2577,157.5,34.25,48.9,49.3,43.0,27.9
2578,156.8,33.5,51.5,46.45,44.4,29.8
2579,154.5,35.95,53.0,47.25,44.3,29.45
2580,157.3,32.2,45.9,48.05,38.8,26.2
2581,162.5,33.75,51.35,50.05,38.65,29.85
2582,158.3,32.25,47.65,48.65,33.8,27.85
2583,161.9,32.25,46.35,50.0,32.7,28.5
2584,157.2,31.15,43.75,48.25,35.25,23.75
2585,162.1,34.2,52.45,48.9,40.8,30.5
2587,154.5,34.0,46.0,46.8,38.0,28.2
2588,161.4,32.15,45.35,50.0,34.75,26.4
2589,161.5,32.25,47.5,48.3,40.6,28.6
2590,162.5,34.2,48.6,49.25,42.95,28.75
2591,155.0,32.55,44.8,48.75,39.3,24.8
2592,159.7,31.35,44.5,47.7,35.9,25.2
2593,156.8,36.85,52.3,49.5,38.85,32.25
2594,164.9,33.8,48.7,51.7,38.45,27.9
2596,165.6,36.5,53.45,51.15,45.9,32.35
2597,153.0,29.9,41.85,47.25,33.25,24.0
2598,169.0,33.15,42.65,52.35,34.35,24.3
2599,151.2,32.5,45.3,45.25,38.95,26.0
2600,159.6,33.5,44.5,50.35,40.25,25.35
2601,166.8,31.0,44.3,51.55,33.4,24.5
2602,160.8,36.5,48.5,50.45,47.75,29.25
2603,156.7,32.6,45.25,47.85,37.5,26.45
2604,160.2,34.0,45.45,49.0,39.5,26.35
2605,158.3,32.4,45.1,48.75,34.9,25.8
2606,166.0,35.5,48.35,51.4,44.35,30.5
2607,161.0,37.0,51.75,50.0,47.9,31.5
2608,158.9,33.5,47.7,48.65,42.85,27.0
2609,158.3,34.2,45.6,48.1,41.6,26.6
2610,158.4,32.65,47.35,48.7,35.25,27.55
2611,149.3,34.4,47.15,45.6,41.75,29.1
2612,162.3,33.25,48.25,49.5,39.5,28.4
2613,157.3,31.95,44.1,47.7,36.25,24.3
2614,157.7,31.3,45.8,48.15,37.55,26.35
2615,163.5,33.3,46.0,50.05,34.75,25.85
2616,166.3,35.75,53.55,50.45,41.5,32.25
2617,157.8,31.65,42.75,49.1,34.75,24.6
2618,154.8,33.95,46.7,47.65,41.0,28.3
2619,173.0,34.95,49.25,54.55,35.85,28.5
2620,152.8,30.05,41.5,47.1,35.0,23.35
2621,149.0,29.2,42.7,45.35,38.0,23.0
2622,163.5,32.75,46.25,51.4,35.1,25.9
2623,165.1,36.0,50.6,50.95,41.6,30.5
2624,159.3,35.5,53.2,48.05,49.1,32.85
2625,164.4,31.4,45.9,50.85,32.25,25.1
2626,168.9,32.75,45.5,53.1,32.45,25.9
2627,157.6,32.75,47.75,48.7,37.2,27.25
2628,169.8,33.95,53.1,53.45,38.0,30.9
2629,160.8,31.25,45.0,50.15,34.9,27.4
2630,162.4,33.45,43.05,50.65,33.45,23.9
2631,159.2,33.45,45.2,48.75,34.95,25.6
2632,156.2,33.0,48.0,48.85,40.75,28.55
2633,161.3,33.75,47.4,50.1,41.1,29.05
2634,165.2,37.1,50.0,50.7,45.35,28.95
2636,150.3,34.2,48.55,45.95,39.85,29.6
2637,152.8,31.9,44.95,46.95,38.2,26.0
2638,159.4,31.15,45.5,50.5,40.75,27.05
2639,161.2,34.6,44.15,47.95,38.85,25.2
2640,161.5,34.6,49.3,49.0,44.6,29.1
2641,164.3,33.5,47.05,49.5,34.5,28.05
2642,158.2,32.0,41.1,47.45,32.25,24.3
2643,159.4,35.15,46.95,49.85,39.2,27.8
2644,163.3,35.75,53.25,51.15,48.05,31.1
2646,160.7,33.65,45.7,48.85,34.35,26.15
2647,158.7,35.0,47.65,48.5,39.55,28.1
2648,159.8,30.75,44.15,49.0,36.3,26.45
2649,157.5,32.1,44.8,48.7,34.7,27.6
2650,152.8,30.25,42.95,47.05,32.1,24.6
2651,158.4,34.25,46.8,48.75,39.4,27.0
2652,159.6,34.25,46.95,48.85,39.85,28.65
2653,160.4,33.0,42.8,49.15,31.15,23.75
2655,164.3,34.4,46.05,51.35,33.45,27.0
2656,167.8,33.95,46.75,51.45,35.95,26.45
2657,153.7,32.75,41.75,45.75,39.85,23.9
2658,170.2,33.05,46.8,52.6,39.3,26.7
2659,166.7,33.25,44.75,51.1,35.3,26.2
2660,157.6,35.4,50.35,47.95,42.6,28.65
2662,153.7,36.15,51.5,46.55,41.85,31.15
2663,168.5,32.35,45.0,51.05,34.2,24.9
2664,163.6,32.9,45.0,49.25,35.6,24.35
2665,162.7,33.7,46.6,50.55,35.45,26.6
2666,166.0,34.65,52.15,52.1,45.85,31.95
2667,166.3,33.5,45.8,51.25,42.25,27.65
2668,160.0,33.25,45.55,50.0,38.6,27.95
2669,152.4,31.35,44.3,45.95,34.95,24.5
2670,165.0,32.2,44.75,50.8,34.85,25.45
2671,162.8,33.9,48.2,49.05,43.85,27.8
2672,159.0,34.2,49.05,48.35,38.35,30.05
2673,164.6,36.1,50.7,51.15,38.45,28.5
2674,153.1,31.35,43.9,47.25,31.65,26.6
2675,158.4,33.65,45.2,49.95,36.25,27.0
2677,157.1,35.5,48.2,47.55,47.45,28.75
2678,157.3,34.2,46.45,49.2,40.25,27.45
2679,158.3,33.7,46.85,48.4,38.6,26.35
2680,156.1,33.95,44.95,46.55,38.15,27.75
2681,156.6,32.5,44.35,48.2,34.45,27.55
2682,161.9,35.0,47.05,49.4,36.6,28.4
2683,157.7,34.0,47.1,48.15,37.65,27.55
2684,152.3,36.0,48.75,45.75,46.45,29.5
2685,157.3,33.25,44.65,48.2,32.75,25.7
2686,162.9,31.5,40.6,50.35,34.55,22.3
2687,160.2,35.7,53.05,48.9,45.65,32.7
2688,157.8,33.65,47.65,48.1,38.0,27.65
2689,158.7,30.8,41.8,48.55,32.85,22.35
2690,166.6,35.8,47.4,52.5,35.85,27.7
2691,156.7,32.2,43.6,48.25,34.65,25.35
2692,158.5,31.2,47.05,49.2,37.7,29.0
2693,158.0,34.75,46.55,48.85,40.4,27.25
2694,170.0,32.25,43.2,54.05,34.95,24.8
2695,168.5,34.85,49.0,52.85,36.6,28.75
2696,149.9,35.0,50.7,46.85,48.0,28.3
2697,151.0,35.15,48.0,47.4,40.4,28.9
2698,160.1,34.9,44.75,49.1,35.35,26.8
2699,160.0,32.6,42.9,48.5,35.9,24.95
2700,160.2,34.25,46.95,49.75,33.55,27.35
2701,156.2,31.6,46.6,47.9,39.1,28.5
2702,156.2,33.75,48.5,47.75,39.4,28.35
2703,158.3,32.4,48.15,49.95,39.5,25.2
2704,153.4,35.5,49.9,48.65,44.05,26.25
2705,161.2,35.25,49.75,49.95,38.85,30.35
2706,157.4,34.2,47.2,48.5,45.3,27.1
2707,158.7,34.0,46.3,49.25,43.0,24.9
2708,162.0,36.9,48.25,49.85,45.75,26.6
2709,172.7,36.05,49.1,54.6,36.85,28.85
2710,158.3,33.45,47.35,48.5,40.5,29.2
2712,149.9,32.5,44.3,45.5,42.25,24.35
2714,153.8,33.0,43.4,47.1,32.5,26.15
2715,157.5,32.5,44.55,48.45,36.0,25.15
2716,155.3,34.0,47.7,48.05,43.6,27.7
2717,155.7,37.5,50.65,48.65,48.55,29.15
2718,161.2,31.75,45.0,49.65,33.25,25.85
2719,165.5,37.75,52.4,52.65,42.75,32.7
2720,164.7,32.75,46.65,50.65,34.4,28.2
2721,160.4,34.9,51.75,50.25,39.0,29.6
2722,150.4,34.25,49.35,44.95,44.2,28.5
2725,157.6,32.55,45.3,47.85,39.35,27.0
2726,160.3,32.7,46.8,49.55,34.1,28.45
2727,160.3,33.15,46.6,48.65,43.05,28.1
2728,159.7,30.75,42.8,48.7,33.95,24.0
2729,158.6,34.75,49.1,48.85,43.5,28.4
2730,159.3,32.95,46.5,47.9,37.5,25.25
2731,159.3,32.75,46.8,49.8,43.5,28.45
2732,161.9,33.75,43.85,50.05,33.0,25.0
2733,150.7,31.75,43.5,46.9,32.4,26.65
2734,155.2,31.05,46.65,48.25,43.65,26.0
2735,155.4,32.45,44.9,48.05,41.15,25.45
2736,164.0,33.75,47.65,50.7,37.9,28.2
2737,161.1,34.15,49.85,49.75,41.9,30.55
2738,166.3,34.4,48.45,52.3,36.4,28.3
2739,162.3,32.65,45.75,49.8,32.25,26.0
2740,167.5,32.65,45.75,51.55,31.95,26.55
2741,150.5,33.0,48.15,46.3,47.2,27.9
2742,145.8,31.45,45.5,44.75,41.4,26.25
2743,161.2,34.25,51.0,50.25,39.3,28.95
2744,166.5,34.25,47.25,52.05,40.0,26.5
2745,159.9,33.45,48.95,48.85,42.3,29.75
2746,160.9,35.75,50.25,50.35,46.8,29.05
2747,156.7,32.2,44.9,48.95,35.95,25.2
2748,147.3,31.75,47.3,45.85,41.45,27.25
2749,163.8,32.7,44.0,50.35,33.9,26.35
2750,162.5,33.2,45.6,49.4,32.9,25.0
2751,148.7,34.5,48.25,44.9,43.35,27.75
2752,162.5,31.0,44.35,50.7,33.0,26.1
2754,162.4,35.5,46.75,50.25,42.65,25.5
2755,160.2,37.5,50.8,49.0,41.75,32.0
2756,162.1,32.1,45.5,49.7,35.5,26.25
2757,164.3,34.5,48.25,50.45,37.7,29.0
2758,162.2,34.0,45.4,49.65,39.75,28.35
2759,163.5,36.5,48.45,49.5,46.25,29.4
2760,157.0,34.15,46.25,48.55,39.65,27.25
2761,155.6,35.5,47.5,46.75,39.0,27.7
2762,159.6,31.25,46.7,49.35,35.4,27.5
2763,165.9,33.25,44.15,50.2,31.15,27.45
2764,160.6,35.15,52.15,47.95,41.65,29.6
2766,162.7,33.0,47.7,50.1,34.2,29.85
2767,171.5,35.9,50.25,52.7,41.55,30.85
2768,159.7,33.65,46.1,49.15,35.95,28.95
2769,154.8,29.4,43.35,47.65,33.95,24.7
2770,164.5,34.5,52.95,50.2,41.45,32.2
2771,163.5,34.0,49.4,51.55,37.7,31.5
2772,153.5,33.5,47.6,46.75,42.95,28.6
