,height,hem,hip,outer_leg,waist,thigh
2070,169.6,33.15,46.9,52.5,32.85,26.8
2071,162.5,34.6,51.3,50.2,40.2,31.9
2072,167.3,30.8,45.2,52.85,34.9,25.1
2073,164.7,35.3,50.8,49.15,41.0,31.55
2074,155.7,32.25,48.6,47.25,41.8,27.0
2075,164.5,32.65,48.3,51.1,38.65,27.2
2076,163.4,34.25,48.65,50.85,38.6,28.1
2077,153.9,30.55,45.4,46.95,38.05,26.7
2079,165.3,34.7,49.4,49.3,47.95,28.05
2080,166.7,33.75,50.4,51.25,39.2,29.45
2081,153.3,35.2,50.0,47.65,38.95,30.3
2082,157.4,32.2,44.9,48.7,36.4,24.35
2083,153.0,29.85,43.25,46.15,32.75,24.3
2084,170.2,35.15,47.75,52.0,38.45,27.55
2085,162.8,33.75,47.2,50.1,38.1,27.25
2086,161.0,33.3,46.4,49.1,36.0,26.4
2087,169.0,34.75,45.15,52.25,36.6,24.9
2088,157.0,30.15,44.35,48.5,32.45,24.85
2090,164.0,34.75,48.9,50.9,41.35,28.45
2091,157.6,33.25,49.25,48.45,36.7,28.5
2092,155.5,32.5,46.75,47.15,34.7,27.75
2093,160.5,29.75,41.85,49.3,32.65,24.7
2094,165.7,34.0,50.2,51.15,38.75,30.3
2096,159.2,36.0,51.25,49.05,43.15,31.0
2097,159.8,31.65,45.4,48.9,37.65,25.7
2098,157.8,32.0,46.65,47.75,39.2,26.5
2099,165.3,33.5,45.65,50.75,33.0,25.9
2100,151.8,33.75,45.5,46.65,39.6,26.6
2101,157.5,31.0,47.5,47.5,39.6,28.3
2102,160.0,31.5,48.4,48.0,36.0,27.85
2103,151.7,31.25,44.25,46.55,39.1,24.5
2104,161.0,32.0,46.0,50.5,36.1,26.7
2105,171.0,32.0,45.25,53.75,31.95,25.15
2106,166.0,31.9,48.7,50.15,36.3,28.4
2107,168.2,33.55,46.05,50.9,35.35,26.4
2108,161.5,31.75,48.4,49.55,41.15,28.15
2109,161.6,29.2,41.5,48.75,29.8,23.2
2110,164.4,33.1,50.05,50.45,49.5,29.55
2111,155.0,31.3,43.65,47.45,33.35,25.6
2112,163.8,33.05,47.25,50.4,40.0,28.8
2113,154.6,33.15,46.25,47.25,42.35,28.8
2114,159.8,33.55,51.75,49.0,41.6,31.05
2115,159.5,29.55,42.9,48.85,33.0,25.4
2116,160.5,34.25,52.9,48.25,43.35,31.95
2117,155.0,30.7,47.05,46.25,38.4,26.55
2118,163.0,32.4,46.5,50.5,35.7,26.9
2119,161.2,32.1,50.7,49.45,44.95,31.6
2120,149.0,30.25,41.8,44.9,39.5,24.1
2121,156.6,32.15,43.45,46.75,39.45,26.65
2122,152.5,29.05,42.1,46.0,31.7,25.15
2123,160.6,32.5,51.05,48.55,40.6,30.1
2124,159.0,30.7,44.65,49.45,40.35,25.8
2125,159.1,29.45,44.25,48.85,38.4,26.35
2126,146.0,30.75,44.0,43.85,41.05,26.85
2127,155.2,34.15,48.5,48.45,47.0,28.3
2128,154.3,33.2,49.1,47.5,47.05,28.5
2129,156.7,29.45,42.95,47.65,37.85,25.0
2130,162.5,32.25,48.75,49.6,44.5,29.05
2131,161.3,31.5,46.55,48.4,40.05,28.0
2132,163.2,34.2,50.5,49.5,43.7,29.5
2133,152.5,31.3,45.9,47.2,40.6,27.35
2134,160.2,33.5,47.25,49.45,43.75,27.25
2135,152.2,35.0,52.05,47.0,46.8,31.7
2136,164.7,31.25,45.1,51.1,36.7,26.05
2137,167.5,30.25,49.0,51.4,36.75,28.25
2138,158.4,31.15,50.75,47.5,40.4,30.6
2139,160.6,28.5,42.25,48.5,34.75,23.55
2140,148.2,31.3,45.6,43.55,45.05,25.9
2141,153.4,33.7,50.05,45.1,45.5,31.15
2142,159.6,35.75,49.75,47.95,47.25,28.45
2143,154.7,32.75,47.05,45.45,48.15,28.85
2144,162.9,31.6,48.85,49.4,47.35,28.55
2145,158.6,31.25,47.65,48.9,41.25,27.6
2146,159.7,30.7,45.0,49.05,39.5,26.5
2147,160.9,29.0,44.15,47.15,36.55,25.25
2148,164.5,32.5,48.25,51.75,36.85,29.25
2149,156.4,29.5,45.9,47.2,38.9,26.6
2150,157.7,34.5,49.05,48.3,45.15,28.25
2151,157.9,35.0,50.5,47.4,40.5,29.85
2152,152.4,30.0,43.0,45.75,40.2,26.05
2153,159.8,31.75,46.9,48.5,37.9,27.9
2154,157.5,34.5,46.25,48.5,38.5,27.2
2155,164.5,36.5,49.25,49.5,45.0,29.2
2156,159.8,35.5,51.6,49.85,45.0,33.05
2157,164.6,32.0,45.5,50.25,34.95,27.0
2158,165.3,33.95,43.35,50.95,36.6,27.95
2159,165.0,32.0,47.15,51.4,38.2,27.6
2160,154.4,31.75,45.25,46.8,36.6,27.35
2161,159.5,32.5,48.55,49.05,39.75,29.5
2162,156.0,30.0,43.9,48.85,39.4,26.05
2163,158.5,32.5,45.15,47.2,35.1,27.05
2164,165.9,30.5,43.85,51.15,37.15,25.2
2165,160.5,32.45,45.4,49.5,34.3,27.55
2166,160.0,32.1,44.3,48.65,35.9,27.05
2167,173.2,33.0,48.85,52.65,40.9,29.35
2168,155.5,34.75,51.25,47.85,46.1,33.25
2169,160.0,32.0,47.15,49.25,38.1,28.3
2170,165.0,31.65,51.1,51.6,42.7,31.65
2171,162.0,30.5,43.65,50.0,34.5,25.9
2172,162.5,34.1,46.15,49.05,37.15,28.3
2173,173.0,34.75,46.25,54.7,34.25,27.75
2174,173.5,32.5,47.8,54.35,37.7,29.35
2175,163.2,32.0,46.45,50.1,34.75,27.1
2176,153.0,31.5,45.85,46.7,43.4,26.75
2177,159.5,30.5,46.5,48.05,34.25,27.1
2178,166.7,32.5,49.25,51.65,36.25,29.55
2179,164.8,35.3,49.8,50.5,47.85,31.95
2180,159.3,32.0,49.8,48.25,40.2,30.2
2181,157.0,34.15,49.85,46.85,42.4,31.05
2182,153.3,33.0,49.7,48.25,41.75,28.25
2183,153.0,32.0,45.4,46.1,41.85,27.35
2184,155.5,32.5,45.65,47.15,44.5,26.1
2185,162.5,32.35,47.45,50.4,44.7,27.3
2186,161.2,29.0,41.5,48.25,29.7,23.7
2187,162.0,33.35,48.35,50.1,38.85,30.5
2188,161.5,30.75,44.8,49.1,37.75,26.5
2189,152.0,31.55,48.6,47.25,39.1,29.75
2190,154.3,32.1,46.85,47.0,35.0,28.8
2191,163.2,32.45,51.8,49.6,46.1,32.25
2192,164.0,33.5,45.45,49.5,35.9,25.5
2193,158.5,32.75,49.15,49.55,43.35,31.15
2194,161.0,29.85,44.75,48.5,34.75,27.5
2195,164.6,33.15,50.15,49.25,44.0,30.5
2196,149.3,32.1,44.8,45.75,43.85,25.85
2197,147.0,27.9,43.75,43.75,36.7,24.6
2199,165.0,30.35,43.85,50.95,33.65,24.55
2200,155.8,31.3,44.95,46.65,36.25,26.15
2201,160.0,31.9,44.85,49.25,36.8,25.3
2202,161.0,33.6,46.55,48.95,42.1,28.3
2203,167.1,31.4,48.3,50.95,37.55,28.7
2204,166.0,33.4,49.0,50.85,39.05,31.05
2205,165.8,32.85,46.6,49.95,33.65,26.45
2206,163.2,33.2,49.3,49.45,39.85,30.25
2207,164.3,32.95,51.65,49.45,44.2,30.85
2208,164.4,34.5,51.05,50.35,40.9,29.8
2209,159.2,31.55,46.0,47.75,34.4,27.35
2211,167.1,34.15,49.75,51.9,42.2,31.05
2212,151.1,34.9,48.7,46.8,41.3,30.55
2213,155.7,31.3,45.0,46.45,37.5,26.6
2214,158.3,33.1,49.55,48.0,40.65,31.05
2215,162.6,31.4,43.15,49.55,35.35,25.55
2216,164.1,32.5,47.45,50.25,36.25,27.7
2217,159.6,32.15,46.5,48.7,39.25,27.6
2218,169.0,33.25,49.15,52.4,39.95,30.2
2219,162.3,33.6,50.85,50.6,41.35,29.2
2220,162.0,32.95,49.0,50.45,41.2,29.35
2221,157.0,31.0,46.9,46.35,39.0,28.45
2222,171.3,31.65,48.25,53.5,37.95,27.85
2224,163.7,34.15,48.6,49.25,39.55,28.65
2225,160.1,30.9,42.8,50.25,32.75,24.45
2226,156.4,35.0,48.65,47.75,41.5,30.25
2227,158.0,34.85,50.65,48.35,46.3,30.75
2228,165.3,29.5,41.8,51.15,33.1,24.35
2229,172.8,34.9,52.9,53.15,41.8,30.25
2230,162.2,31.5,44.6,49.2,32.65,25.7
2231,154.7,31.5,43.45,46.85,37.5,25.4
2232,158.6,32.0,43.75,48.5,37.6,26.7
2233,156.9,34.1,45.5,47.7,39.25,26.3
2234,158.5,31.75,42.75,47.25,40.65,26.5
2235,153.8,31.25,43.35,46.5,38.6,24.95
2236,160.0,35.75,47.05,47.95,40.85,29.35
2237,157.0,36.0,49.85,47.25,38.4,31.15
2238,165.3,32.0,45.0,50.05,34.3,26.9
2239,169.4,33.0,45.8,52.5,37.4,27.5
2240,162.5,34.4,49.25,49.25,38.8,31.0
2241,168.5,35.5,53.1,49.75,47.7,32.8
2242,162.6,34.5,48.7,49.9,43.1,30.7
2243,155.8,29.0,44.3,48.25,35.55,28.0
2244,164.7,31.0,45.2,50.9,33.55,27.0
2245,160.0,34.0,50.35,48.15,42.75,32.1
2246,163.9,35.0,50.65,48.95,40.6,31.9
2247,165.0,31.25,47.05,50.1,33.35,28.35
2248,166.3,31.5,48.15,51.5,36.1,28.95
2249,159.7,29.5,40.75,48.55,31.5,24.5
2250,161.5,34.25,50.35,50.0,39.15,32.15
2251,164.0,34.9,48.55,50.5,40.95,30.35
2252,156.0,30.0,42.35,48.05,36.65,24.75
2253,157.6,31.0,44.5,48.65,34.5,26.5
2254,163.5,33.5,48.85,50.35,40.8,28.5
2255,160.2,30.1,43.6,50.35,39.5,25.6
2256,158.0,32.5,43.5,49.55,39.55,26.0
2257,153.6,33.7,52.15,46.5,46.95,34.1
2258,159.0,31.9,48.85,48.7,36.65,31.15
2259,161.3,33.95,49.3,48.75,45.1,30.8
2261,158.8,31.65,45.2,48.5,31.8,26.65
2262,165.7,32.4,49.5,50.5,38.35,29.75
2263,153.6,30.85,45.8,46.25,35.25,27.8
2265,164.7,31.7,46.45,50.15,36.0,26.7
2266,163.5,31.15,45.35,49.45,33.4,27.7
2267,160.3,36.85,53.15,49.0,48.1,34.1
2268,164.2,31.65,45.0,50.4,34.6,27.75
2269,162.0,35.65,45.4,48.95,43.45,28.3
2270,154.5,30.5,43.75,48.25,40.5,26.2
2271,163.3,33.15,47.75,49.35,44.05,27.3
2272,159.0,37.35,54.1,48.45,43.3,33.4
2273,156.2,32.0,48.1,46.15,42.55,29.0
2274,156.0,34.15,49.55,47.6,38.3,28.05
2275,158.0,34.05,44.4,48.5,34.45,26.55
2276,166.5,36.55,52.6,51.3,46.75,32.95
2277,157.5,33.9,49.9,47.95,41.75,30.4
2278,159.6,35.75,54.55,48.1,48.1,32.5
2279,165.0,34.4,50.2,49.65,38.6,30.4
2280,165.0,34.7,50.65,51.0,37.25,28.65
2281,160.5,31.4,45.85,49.0,34.85,27.7
2282,165.0,32.2,48.65,54.5,34.4,28.35
2283,154.5,29.9,45.4,46.05,39.25,26.1
2284,153.0,33.25,49.3,46.95,42.0,30.0
2285,165.2,31.1,47.1,50.95,34.8,27.75
2286,164.0,31.2,46.2,50.55,34.2,27.65
2287,164.1,32.15,46.95,50.0,34.05,28.6
2288,173.8,33.4,47.2,53.3,36.15,26.7
2289,153.4,28.0,41.75,46.75,30.9,24.9
2290,150.6,33.0,47.9,45.85,46.2,27.85
2291,152.8,31.7,44.1,46.75,40.75,25.85
